Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.000000   -0.07    0.09    0.14
0.001000   -0.03    0.09    0.14
0.002000   -0.04    0.08    0.14
0.003000   -0.05    0.07    0.14
0.004000   -0.06    0.06    0.14
0.005000   -0.06    0.06    0.14
0.006000   -0.08    0.05    0.14
0.007000   -0.09    0.03    0.14
0.008000   -0.09    0.03    0.14
0.009000   -0.07    0.04    0.13
0.010000   -0.04    0.07    0.13
0.011000   -0.02    0.09    0.13
0.012000    0.01    0.12    0.12
0.013000    0.04    0.15    0.13
0.014000    0.05    0.16    0.13
0.015000    0.06    0.17    0.13
0.016000    0.05    0.17    0.14
0.017000    0.04    0.16    0.14
0.018000    0.01    0.15    0.15
0.019000    0.01    0.14    0.14
0.020000    0.01    0.13    0.14
0.021000    0.00    0.12    0.13
0.022000   -0.02    0.09    0.13
0.023000   -0.05    0.06    0.12
0.024000   -0.08    0.04    0.12
0.025000   -0.09    0.02    0.12
0.026000   -0.10    0.00    0.11
0.027000   -0.11   -0.01    0.11
0.028000   -0.07    0.02    0.11
0.029000   -0.05    0.05    0.11
0.030000   -0.03    0.07    0.11
0.031000   -0.02    0.08    0.12
0.032000   -0.02    0.09    0.12
0.033000   -0.02    0.10    0.13
0.034000   -0.03    0.10    0.14
0.035000   -0.04    0.09    0.14
0.036000   -0.07    0.05    0.14
0.037000   -0.07    0.06    0.14
0.038000   -0.03    0.10    0.14
0.039000    0.02    0.14    0.14
0.040000    0.05    0.16    0.13
0.041000    0.06    0.18    0.12
0.042000    0.07    0.19    0.12
0.043000    0.07    0.18    0.13
0.044000    0.05    0.17    0.13
0.045000    0.03    0.16    0.14
0.046000    0.01    0.13    0.14
0.047000   -0.02    0.11    0.14
0.048000   -0.03    0.10    0.15
0.049000   -0.02    0.10    0.14
0.050000   -0.02    0.11    0.14
0.051000   -0.01    0.11    0.14
0.052000   -0.02    0.10    0.13
0.053000   -0.02    0.10    0.13
0.054000   -0.01    0.11    0.14
0.055000    0.01    0.12    0.14
0.056000    0.02    0.15    0.14
0.057000    0.02    0.14    0.14
0.058000    0.01    0.13    0.14
0.059000    0.02    0.15    0.13
0.060000    0.04    0.16    0.14
0.061000    0.04    0.17    0.14
0.062000    0.03    0.16    0.14
0.063000    0.01    0.14    0.15
0.064000   -0.01    0.12    0.14
0.065000   -0.02    0.11    0.13
0.066000   -0.03    0.10    0.15
0.067000   -0.05    0.09    0.15
0.068000   -0.05    0.09    0.15
0.069000   -0.04    0.09    0.14
0.070000   -0.04    0.09    0.14
0.071000   -0.03    0.10    0.14
0.072000   -0.00    0.12    0.15
0.073000    0.01    0.14    0.14
0.074000    0.04    0.16    0.14
0.075000    0.05    0.17    0.14
0.076000    0.06    0.18    0.14
0.077000    0.07    0.20    0.15
0.078000    0.06    0.19    0.15
0.079000    0.05    0.18    0.14
0.080000    0.04    0.17    0.14
0.081000    0.04    0.15    0.13
0.082000    0.02    0.14    0.13
0.083000    0.01    0.11    0.13
0.084000   -0.02    0.10    0.13
0.085000   -0.04    0.07    0.13
0.086000   -0.07    0.04    0.13
0.087000   -0.10    0.01    0.13
0.088000   -0.13   -0.02    0.13
0.089000   -0.15   -0.04    0.12
0.090000   -0.14   -0.03    0.12
0.091000   -0.11   -0.01    0.12
0.092000   -0.10   -0.00    0.11
0.093000   -0.10   -0.01    0.11
0.094000   -0.10    0.00    0.12
0.095000   -0.06    0.05    0.13
0.096000   -0.03    0.09    0.13
0.097000   -0.03    0.10    0.13
0.098000   -0.02    0.10    0.14
0.099000   -0.03    0.11    0.15
0.100000   -0.03    0.12    0.16
0.101000   -0.01    0.13    0.15
0.102000   -0.01    0.13    0.15
0.103000    0.00    0.13    0.14
0.104000    0.01    0.15    0.14
0.105000    0.03    0.16    0.13
0.106000    0.04    0.16    0.13
0.107000    0.04    0.16    0.12
0.108000    0.04    0.14    0.12
0.109000    0.03    0.13    0.12
0.110000    0.02    0.13    0.12
0.111000    0.02    0.13    0.12
0.112000    0.02    0.14    0.13
0.113000    0.02    0.15    0.14
0.114000    0.03    0.16    0.15
0.115000    0.03    0.17    0.15
0.116000    0.03    0.17    0.15
0.117000    0.03    0.16    0.15
0.118000    0.02    0.16    0.16
0.119000    0.01    0.15    0.16
0.120000    0.01    0.16    0.16
0.121000    0.02    0.16    0.16
0.122000    0.01    0.15    0.16
0.123000    0.00    0.14    0.16
0.124000   -0.01    0.12    0.15
0.125000   -0.02    0.10    0.14
0.126000   -0.04    0.07    0.13
0.127000   -0.06    0.06    0.13
0.128000   -0.03    0.07    0.13
0.129000   -0.03    0.09    0.13
0.130000   -0.02    0.10    0.13
0.131000   -0.01    0.12    0.15
0.132000   -0.03    0.12    0.16
0.133000   -0.02    0.13    0.16
0.134000   -0.00    0.15    0.17
0.135000    0.01    0.17    0.17
0.136000    0.02    0.19    0.18
0.137000    0.03    0.20    0.18
0.138000    0.04    0.20    0.17
0.139000    0.03    0.20    0.17
0.140000    0.03    0.19    0.18
0.141000    0.02    0.18    0.17
0.142000    0.00    0.16    0.17
0.143000   -0.02    0.14    0.17
0.144000   -0.03    0.13    0.17
0.145000   -0.04    0.12    0.17
0.146000   -0.05    0.11    0.17
0.147000   -0.06    0.10    0.17
0.148000   -0.05    0.10    0.16
0.149000   -0.05    0.10    0.16
0.150000   -0.05    0.09    0.16
0.151000   -0.05    0.08    0.15
