Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.000000   -4.00   -1.06    4.00
0.001000   -4.00   -1.04    4.00
0.002000   -4.00   -1.05    4.00
0.003000   -4.00   -1.06    4.00
0.004000   -4.00   -1.06    4.00
0.005000   -4.00   -1.06    4.00
0.006000   -4.00   -1.06    4.00
0.007000   -4.00   -1.07    4.00
0.008000   -4.00   -1.06    4.00
0.009000   -4.00   -1.06    4.00
0.010000   -4.00   -1.07    4.00
0.011000   -4.00   -1.08    4.00
0.012000   -4.00   -1.09    4.00
0.013000   -4.00   -1.10    4.00
0.014000   -4.00   -1.10    4.00
0.015000   -4.00   -1.11    4.00
0.016000   -4.00   -1.12    4.00
0.017000   -4.00   -1.11    4.00
0.018000   -4.00   -1.08    4.00
0.019000   -4.00   -1.07    4.00
0.020000   -4.00   -1.06    4.00
0.021000   -4.00   -1.06    4.00
0.022000   -4.00   -1.07    4.00
0.023000   -4.00   -1.09    4.00
0.024000   -4.00   -1.10    4.00
0.025000   -4.00   -1.11    4.00
0.026000   -4.00   -1.12    4.00
0.027000   -4.00   -1.13    4.00
0.028000   -4.00   -1.14    4.00
0.029000   -4.00   -1.13    4.00
0.030000   -4.00   -1.12    4.00
0.031000   -4.00   -1.12    4.00
0.032000   -4.00   -1.13    4.00
0.033000   -4.00   -1.13    4.00
0.034000   -4.00   -1.13    4.00
0.035000   -4.00   -1.13    4.00
0.036000   -4.00   -1.14    4.00
0.037000   -4.00   -1.14    4.00
0.038000   -4.00   -1.13    4.00
0.039000   -4.00   -1.14    4.00
0.040000   -4.00   -1.15    4.00
0.041000   -4.00   -1.15    4.00
0.042000   -4.00   -1.16    4.00
0.043000   -4.00   -1.17    4.00
0.044000   -4.00   -1.17    4.00
0.045000   -4.00   -1.17    4.00
0.046000   -4.00   -1.18    4.00
0.047000   -4.00   -1.18    4.00
0.048000   -4.00   -1.20    4.00
0.049000   -4.00   -1.21    4.00
0.050000   -4.00   -1.21    4.00
0.051000   -4.00   -1.22    4.00
0.052000   -4.00   -1.22    4.00
0.053000   -4.00   -1.21    4.00
0.054000   -4.00   -1.20    4.00
0.055000   -4.00   -1.19    4.00
0.056000   -4.00   -1.19    4.00
0.057000   -4.00   -1.20    4.00
0.058000   -4.00   -1.19    4.00
0.059000   -4.00   -1.19    4.00
0.060000   -4.00   -1.19    4.00
0.061000   -4.00   -1.19    4.00
0.062000   -4.00   -1.18    4.00
0.063000   -4.00   -1.17    4.00
0.064000   -4.00   -1.16    4.00
0.065000   -4.00   -1.15    4.00
0.066000   -4.00   -1.12    4.00
0.067000   -4.00   -1.10    4.00
0.068000   -4.00   -1.09    4.00
0.069000   -4.00   -1.08    4.00
0.070000   -4.00   -1.09    4.00
0.071000   -4.00   -1.10    4.00
0.072000   -4.00   -1.11    4.00
0.073000   -4.00   -1.11    4.00
0.074000   -4.00   -1.13    4.00
0.075000   -4.00   -1.14    4.00
0.076000   -4.00   -1.14    4.00
0.077000   -4.00   -1.15    4.00
0.078000   -4.00   -1.15    4.00
0.079000   -4.00   -1.12    4.00
0.080000   -4.00   -1.11    4.00
0.081000   -4.00   -1.11    4.00
0.082000   -4.00   -1.12    4.00
0.083000   -4.00   -1.13    4.00
0.084000   -4.00   -1.13    4.00
0.085000   -4.00   -1.13    4.00
0.086000   -4.00   -1.14    4.00
0.087000   -4.00   -1.15    4.00
0.088000   -4.00   -1.16    4.00
0.089000   -4.00   -1.16    4.00
0.090000   -4.00   -1.15    4.00
0.091000   -4.00   -1.14    4.00
0.092000   -4.00   -1.13    4.00
0.093000   -4.00   -1.11    4.00
0.094000   -4.00   -1.10    4.00
0.095000   -4.00   -1.10    4.00
0.096000   -4.00   -1.10    4.00
0.097000   -4.00   -1.10    4.00
0.098000   -4.00   -1.10    4.00
0.099000   -4.00   -1.10    4.00
0.100000   -4.00   -1.11    4.00
0.101000   -4.00   -1.11    4.00
0.102000   -4.00   -1.10    4.00
0.103000   -4.00   -1.09    4.00
0.104000   -4.00   -1.09    4.00
0.105000   -4.00   -1.09    4.00
0.106000   -4.00   -1.09    4.00
0.107000   -4.00   -1.08    4.00
0.108000   -4.00   -1.09    4.00
0.109000   -4.00   -1.09    4.00
0.110000   -4.00   -1.10    4.00
0.111000   -4.00   -1.09    4.00
0.112000   -4.00   -1.08    4.00
0.113000   -4.00   -1.07    4.00
0.114000   -4.00   -1.06    4.00
