Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.000000    0.22    1.25    1.33
0.001000   -0.20    1.19    1.39
0.002000   -0.32    1.12    1.43
0.003000   -0.42    1.04    1.46
0.004000   -0.52    0.95    1.47
0.005000   -0.62    0.85    1.47
0.006000   -0.70    0.75    1.45
0.007000   -0.76    0.64    1.40
0.008000   -0.82    0.53    1.36
0.009000   -0.86    0.44    1.31
0.010000   -0.89    0.35    1.25
0.011000   -0.91    0.27    1.19
0.012000   -0.93    0.20    1.13
0.013000   -0.94    0.13    1.08
0.014000   -0.95    0.09    1.05
0.015000   -0.95    0.05    1.01
0.016000   -0.95    0.02    0.98
0.017000   -0.95   -0.01    0.96
0.018000   -0.94   -0.03    0.92
0.019000   -0.92   -0.06    0.87
0.020000   -0.90   -0.09    0.83
0.021000   -0.88   -0.11    0.79
0.022000   -0.86   -0.13    0.75
0.023000   -0.84   -0.17    0.69
0.024000   -0.82   -0.19    0.64
0.025000   -0.80   -0.22    0.59
0.026000   -0.78   -0.25    0.54
0.027000   -0.75   -0.28    0.49
0.028000   -0.73   -0.30    0.45
0.029000   -0.70   -0.31    0.41
0.030000   -0.66   -0.32    0.37
0.031000   -0.64   -0.33    0.33
0.032000   -0.61   -0.33    0.30
0.033000   -0.58   -0.33    0.27
0.034000   -0.54   -0.33    0.24
0.035000   -0.50   -0.31    0.22
0.036000   -0.46   -0.29    0.20
0.037000   -0.43   -0.27    0.18
0.038000   -0.40   -0.25    0.17
0.039000   -0.37   -0.24    0.15
0.040000   -0.33   -0.22    0.15
0.041000   -0.30   -0.20    0.12
0.042000   -0.26   -0.19    0.10
0.043000   -0.23   -0.18    0.08
0.044000   -0.20   -0.16    0.06
0.045000   -0.19   -0.15    0.06
0.046000   -0.18   -0.15    0.05
0.047000   -0.16   -0.14    0.04
0.048000   -0.13   -0.13    0.03
0.049000   -0.11   -0.12    0.02
0.050000   -0.09   -0.11    0.01
0.051000   -0.08   -0.11    0.00
0.052000   -0.07   -0.10   -0.01
0.053000   -0.05   -0.09   -0.02
0.054000   -0.04   -0.09   -0.02
0.055000   -0.03   -0.08   -0.02
0.056000   -0.01   -0.07   -0.03
0.057000   -0.00   -0.06   -0.03
0.058000    0.01   -0.06   -0.04
0.059000    0.01   -0.06   -0.04
0.060000    0.01   -0.05   -0.04
0.061000    0.01   -0.05   -0.04
0.062000    0.01   -0.04   -0.04
0.063000    0.01   -0.04   -0.03
0.064000    0.01   -0.04   -0.03
0.065000   -0.00   -0.05   -0.02
0.066000   -0.01   -0.05   -0.02
0.067000   -0.02   -0.05   -0.01
0.068000   -0.02   -0.05   -0.01
0.069000   -0.01   -0.04   -0.01
0.070000   -0.01   -0.04   -0.01
0.071000   -0.01   -0.05   -0.02
0.072000   -0.01   -0.05   -0.03
0.073000   -0.00   -0.07   -0.04
0.074000   -0.01   -0.07   -0.04
0.075000    0.00   -0.07   -0.04
0.076000    0.01   -0.06   -0.04
0.077000    0.01   -0.06   -0.05
0.078000    0.02   -0.05   -0.05
0.079000    0.02   -0.05   -0.05
0.080000    0.03   -0.05   -0.05
0.081000    0.03   -0.04   -0.05
0.082000    0.03   -0.04   -0.05
0.083000    0.03   -0.04   -0.05
0.084000    0.03   -0.03   -0.04
0.085000    0.03   -0.03   -0.03
0.086000    0.02   -0.02   -0.03
0.087000    0.02   -0.02   -0.02
0.088000    0.01   -0.02   -0.02
0.089000    0.03   -0.01   -0.02
0.090000    0.03   -0.02   -0.03
0.091000    0.03   -0.03   -0.03
0.092000    0.02   -0.03   -0.03
0.093000    0.03   -0.03   -0.03
0.094000    0.04   -0.03   -0.05
0.095000    0.05   -0.03   -0.05
0.096000    0.06   -0.02   -0.06
0.097000    0.07   -0.01   -0.05
0.098000    0.07   -0.00   -0.05
0.099000    0.06   -0.00   -0.05
0.100000    0.06   -0.00   -0.04
0.101000    0.06    0.00   -0.03
0.102000    0.06    0.01   -0.02
0.103000    0.05    0.01   -0.01
0.104000    0.04    0.01   -0.00
0.105000    0.03    0.01    0.00
0.106000    0.02    0.01    0.00
0.107000    0.03    0.01    0.00
0.108000    0.02    0.00    0.00
0.109000    0.03    0.01    0.00
0.110000    0.04    0.01   -0.00
0.111000    0.04    0.01   -0.00
0.112000    0.05    0.00   -0.01
0.113000    0.05   -0.01   -0.03
0.114000    0.05   -0.01   -0.03
0.115000    0.06   -0.00   -0.03
0.116000    0.07    0.00   -0.04
0.117000    0.07   -0.00   -0.04
0.118000    0.07   -0.00   -0.04
0.119000    0.06    0.00   -0.04
0.120000    0.06    0.00   -0.02
0.121000    0.06    0.01   -0.02
0.122000    0.06    0.02   -0.01
0.123000    0.06    0.03   -0.00
0.124000    0.05    0.03    0.00
0.125000    0.05    0.02    0.00
0.126000    0.04    0.02    0.00
0.127000    0.03    0.01    0.00
0.128000    0.04    0.01   -0.00
0.129000    0.04    0.01   -0.00
0.130000    0.05    0.01   -0.01
0.131000    0.05    0.01   -0.02
0.132000    0.05    0.01   -0.01
0.133000    0.05    0.01   -0.02
0.134000    0.05    0.01   -0.02
0.135000    0.06    0.00   -0.03
0.136000    0.07    0.01   -0.03
0.137000    0.08    0.02   -0.03
0.138000    0.08    0.02   -0.03
0.139000    0.07    0.02   -0.02
0.140000    0.06    0.03   -0.01
0.141000    0.06    0.03   -0.01
0.142000    0.06    0.03   -0.01
0.143000    0.05    0.02   -0.00
0.144000    0.05    0.03    0.00
0.145000    0.05    0.03    0.00
0.146000    0.05    0.04    0.01
0.147000    0.05    0.04    0.01
0.148000    0.04    0.04    0.01
0.149000    0.06    0.04    0.01
0.150000    0.07    0.04    0.00
0.151000    0.07    0.04   -0.01
0.152000    0.07    0.04   -0.01
0.153000    0.07    0.04   -0.01
0.154000    0.08    0.05   -0.01
0.155000    0.08    0.05   -0.01
0.156000    0.08    0.05   -0.00
0.157000    0.08    0.05    0.00
0.158000    0.08    0.06    0.00
0.159000    0.08    0.06   -0.01
0.160000    0.08    0.05   -0.01
0.161000    0.08    0.05   -0.01
0.162000    0.07    0.05    0.00
0.163000    0.07    0.06    0.01
0.164000    0.06    0.06    0.02
0.165000    0.06    0.06    0.02
0.166000    0.06    0.06    0.02
0.167000    0.06    0.07    0.02
0.168000    0.06    0.08    0.02
0.169000    0.07    0.08    0.03
0.170000    0.07    0.08    0.03
0.171000    0.07    0.07    0.02
0.172000    0.08    0.07    0.02
0.173000    0.09    0.07    0.01
0.174000    0.10    0.07    0.00
0.175000    0.10    0.07   -0.00
0.176000    0.10    0.07   -0.00
0.177000    0.09    0.07    0.00
0.178000    0.10    0.07    0.00
0.179000    0.09    0.07   -0.00
0.180000    0.09    0.07    0.01
0.181000    0.09    0.08    0.01
0.182000    0.10    0.09    0.01
0.183000    0.10    0.09    0.02
0.184000    0.09    0.09    0.02
0.185000    0.09    0.09    0.02
0.186000    0.08    0.08    0.02
0.187000    0.08    0.08    0.02
0.188000    0.08    0.08    0.02
0.189000    0.09    0.08    0.01
0.190000    0.10    0.08    0.00
0.191000    0.11    0.08   -0.00
0.192000    0.11    0.08   -0.01
0.193000    0.13    0.08   -0.02
0.194000    0.13    0.08   -0.03
0.195000    0.14    0.08   -0.04
0.196000    0.15    0.09   -0.04
0.197000    0.15    0.09   -0.03
0.198000    0.15    0.09   -0.03
0.199000    0.15    0.09   -0.03
0.200000    0.15    0.10   -0.03
0.201000    0.15    0.10   -0.03
0.202000    0.16    0.11   -0.03
0.203000    0.15    0.11   -0.02
0.204000    0.14    0.11   -0.01
0.205000    0.12    0.10   -0.00
0.206000    0.12    0.09   -0.00
0.207000    0.12    0.09   -0.00
0.208000    0.12    0.10    0.00
0.209000    0.13    0.10    0.00
0.210000    0.13    0.10   -0.00
0.211000    0.13    0.09   -0.02
0.212000    0.13    0.08   -0.03
0.213000    0.14    0.09   -0.03
0.214000    0.15    0.10   -0.04
0.215000    0.17    0.11   -0.03
0.216000    0.17    0.11   -0.04
0.217000    0.19    0.11   -0.04
0.218000    0.19    0.11   -0.04
0.219000    0.17    0.11   -0.04
0.220000    0.17    0.11   -0.03
0.221000    0.17    0.12   -0.03
0.222000    0.17    0.12   -0.03
